# eastings, northings, cpd, cpd_error, temp_error
6.526530914763510227e+05 9.729040123593753669e+05 1.920162800000000061e+04 7.680651200000000244e+03 1.112926427976723716e+02
6.631833616398215527e+05 9.730428666674757842e+05 1.925351900000000023e+04 7.701407600000000457e+03 1.116403015935276812e+02
6.737134404938612133e+05 9.732069698041884694e+05 1.926699100000000180e+04 7.706796400000001086e+03 1.118367109709851093e+02
6.842432898017497500e+05 9.733963229407138424e+05 1.925227400000000125e+04 7.700909599999999955e+03 1.114029055461199107e+02
6.947728902647665236e+05 9.736109277953017736e+05 1.912565599999999904e+04 7.650262399999999616e+03 1.107741578628412924e+02
7.053022036124485312e+05 9.738507859514997108e+05 1.877333300000000236e+04 7.509333200000000033e+03 1.094565471757229602e+02
7.158311915548610268e+05 9.741158991307129618e+05 1.845214099999999962e+04 7.380856400000000576e+03 1.081169558280889191e+02
7.263598347317670705e+05 9.744062697374888230e+05 1.825591100000000006e+04 7.302364400000001297e+03 1.073040840931063258e+02
7.368880948059853399e+05 9.747218999049966224e+05 1.825574299999999857e+04 7.302297199999999975e+03 1.073027774277551032e+02
7.474159334143686574e+05 9.750627919039067347e+05 1.841346700000000055e+04 7.365386800000000221e+03 1.080051100779103308e+02
7.579433311146446504e+05 9.754289488240599167e+05 1.845026399999999921e+04 7.380105599999999868e+03 1.080974774741373636e+02
7.684702494829094503e+05 9.758203733471126761e+05 1.842523800000000119e+04 7.370095200000000659e+03 1.074625978630460850e+02
7.789966500627964269e+05 9.762370682917613303e+05 1.830893500000000131e+04 7.323574000000000524e+03 1.074885865758488137e+02
3.568348881882845890e+05 9.607310086534040747e+05 2.888147400000000198e+04 1.155258960000000116e+04 1.507478553090429045e+02
3.674020236324598081e+05 9.601613549507261487e+05 2.883568199999999706e+04 1.153427280000000064e+04 1.501100320329920237e+02
3.779699198931159917e+05 9.596170478008871432e+05 2.857573700000000099e+04 1.143029479999999967e+04 1.484794850825209949e+02
3.885384815283975331e+05 9.590980863542852458e+05 2.812936799999999857e+04 1.125174719999999979e+04 1.470429587335739257e+02
3.991076131279668771e+05 9.586044693534945836e+05 2.751298300000000017e+04 1.100519320000000153e+04 1.439806662076322539e+02
4.096774095738332253e+05 9.581361869326788001e+05 2.679279100000000108e+04 1.071711640000000261e+04 1.421219281337418749e+02
4.202477755475401646e+05 9.576932383880517446e+05 2.593387800000000061e+04 1.037355120000000170e+04 1.384441261358770419e+02
4.308186157576527912e+05 9.572756226089219563e+05 2.502886799999999857e+04 1.001154720000000088e+04 1.351632449170275834e+02
4.413900252287562471e+05 9.568833312447824283e+05 2.418861400000000140e+04 9.675445600000000923e+03 1.314282379667778571e+02
4.519619087471355451e+05 9.565163637396879494e+05 2.346930899999999747e+04 9.387723599999999351e+03 1.285792565206329812e+02
4.625341711215983378e+05 9.561747191315651871e+05 2.278851299999999901e+04 9.115405199999999240e+03 1.261347703370820170e+02
4.731069074954957468e+05 9.558583905864853878e+05 2.226116400000000067e+04 8.904465599999999540e+03 1.241759586326096070e+02
4.836800037093156134e+05 9.555673781990805874e+05 2.189454500000000189e+04 8.757818000000001120e+03 1.222728237283279213e+02
4.942534407816198654e+05 9.553016791988536716e+05 2.162902999999999884e+04 8.651612000000000990e+03 1.212944434572883097e+02
5.048271997576043941e+05 9.550612911390255904e+05 2.139887199999999939e+04 8.559548800000000483e+03 1.207747278341469581e+02
5.154012426729478175e+05 9.548462122609876096e+05 2.126804399999999805e+04 8.507217599999999948e+03 1.197998686312081134e+02
5.259755315829793690e+05 9.546564409478107700e+05 2.126779000000000087e+04 8.507116000000001804e+03 1.203267952168433510e+02
5.365500475949132815e+05 9.544919754510842031e+05 2.131474100000000180e+04 8.525896400000001449e+03 1.202963658705054684e+02
5.471247527981055900e+05 9.543528145741713233e+05 2.136303499999999985e+04 8.545213999999999942e+03 1.202717845830007235e+02
5.576996092950107995e+05 9.542389572623689892e+05 2.128302599999999802e+04 8.513210399999999936e+03 1.197641071120965108e+02
5.682745982341839699e+05 9.541504024663462769e+05 2.101940300000000207e+04 8.407761200000000827e+03 1.189554420990388053e+02
5.788496817384937312e+05 9.540871495520782191e+05 2.069330400000000009e+04 8.277321600000001126e+03 1.180922434242759209e+02
5.894248219373578904e+05 9.540491980276256800e+05 2.045081100000000151e+04 8.180324400000001333e+03 1.165246946812338678e+02
6.000000000000000000e+05 9.540365475431642262e+05 2.032850799999999799e+04 8.131403199999999742e+03 1.162509763727875907e+02
6.105751780626421096e+05 9.540491980276256800e+05 2.022612000000000262e+04 8.090448000000000320e+03 1.153537309497309309e+02
6.211503182615062688e+05 9.540871495520782191e+05 2.003713999999999942e+04 8.014855999999999767e+03 1.149712569093620260e+02
6.317254017658160301e+05 9.541504024663462769e+05 1.963960499999999956e+04 7.855841999999999643e+03 1.128706774114482130e+02
6.423003907049892005e+05 9.542389572623689892e+05 1.919658499999999913e+04 7.678634000000000015e+03 1.117753909958243241e+02
6.528752472018944100e+05 9.543528145741713233e+05 1.924477600000000166e+04 7.697910400000001573e+03 1.112436053221677383e+02
6.634499524050867185e+05 9.544919754510842031e+05 1.928710699999999997e+04 7.714842799999999443e+03 1.116975489113788456e+02
6.740244684170206310e+05 9.546564409478107700e+05 1.924894099999999889e+04 7.699576399999999921e+03 1.116254520638503891e+02
6.845987573270521825e+05 9.548462122609876096e+05 1.914433500000000276e+04 7.657734000000001288e+03 1.111007800834700276e+02
6.951728002423954895e+05 9.550612911390255904e+05 1.895598400000000038e+04 7.582393600000000333e+03 1.100837024793146952e+02
7.057465592183800181e+05 9.553016791988536716e+05 1.850279400000000169e+04 7.401117600000001403e+03 1.082522943226192069e+02
7.163199962906844448e+05 9.555673781990805874e+05 1.812565400000000227e+04 7.250261600000000726e+03 1.071969325863870779e+02
7.268930925045042532e+05 9.558583905864853878e+05 1.790255500000000029e+04 7.161021999999999935e+03 1.054269060769156425e+02
7.374658098478743341e+05 9.561747185393895488e+05 1.796712700000000041e+04 7.186850800000001072e+03 1.059112226163456683e+02
7.480381102826242568e+05 9.565163643774385564e+05 1.836145600000000195e+04 7.344582400000000234e+03 1.074944674265742179e+02
7.586099747712437529e+05 9.568833312447824283e+05 1.833602899999999863e+04 7.334411600000000362e+03 1.077546857483500844e+02
7.691813652142939391e+05 9.572756218800056959e+05 1.826940899999999965e+04 7.307763600000000224e+03 1.073856757475784036e+02
7.797522434795739828e+05 9.576932391625593882e+05 1.814236999999999898e+04 7.256948000000000320e+03 1.067890161980786417e+02
3.558143673646234674e+05 9.421942920678805094e+05 2.957454299999999785e+04 1.182981720000000132e+04 1.527540753498847437e+02
3.664259321152829798e+05 9.416233964424151927e+05 2.934541700000000128e+04 1.173816680000000270e+04 1.513227043068188493e+02
3.770382500935359276e+05 9.410779031856735237e+05 2.907695400000000154e+04 1.163078160000000025e+04 1.503635103056309674e+02
3.876512259451466380e+05 9.405578113702025730e+05 2.876826099999999860e+04 1.150730440000000090e+04 1.498547988381913285e+02
3.982647643479757244e+05 9.400631196633714717e+05 2.827600100000000020e+04 1.131040040000000045e+04 1.473464822532380367e+02
4.088789610719137127e+05 9.395938181089452701e+05 2.720321699999999691e+04 1.088128679999999986e+04 1.436732295763048626e+02
4.194937208874000935e+05 9.391499059362318367e+05 2.591007400000000052e+04 1.036402960000000166e+04 1.385002759096589386e+02
4.301089485923916218e+05 9.387313819702826440e+05 2.455553400000000329e+04 9.822213600000000952e+03 1.332967296965845208e+02
4.407247401001456892e+05 9.383382377841325942e+05 2.323080600000000049e+04 9.292322400000000926e+03 1.280068507935371258e+02
4.513410002869277960e+05 9.379704727658696938e+05 2.212279499999999825e+04 8.849118000000000393e+03 1.234598288304894709e+02
4.619576340519384248e+05 9.376280859001048375e+05 2.172997099999999773e+04 8.691988400000000183e+03 1.219283370730980209e+02
4.725747374278580537e+05 9.373110702903748024e+05 2.152887700000000041e+04 8.611550800000000891e+03 1.210795937562218114e+02
4.831921962661991129e+05 9.370194259873676347e+05 2.133208499999999913e+04 8.532833999999998923e+03 1.197725262620088529e+02
4.938099919961160631e+05 9.367531501739530358e+05 2.114749899999999980e+04 8.458999600000001010e+03 1.194081099553068555e+02
5.044281060735846404e+05 9.365122403609579196e+05 2.119076499999999942e+04 8.476305999999998676e+03 1.194525179835170832e+02
5.150465008654050180e+05 9.362966947524081916e+05 2.127046199999999953e+04 8.508184800000000905e+03 1.200176755795792616e+02
5.256651387582054595e+05 9.361065116978501901e+05 2.134002900000000227e+04 8.536011599999999817e+03 1.198937672730005914e+02
5.362840012704771943e+05 9.359416894185964484e+05 2.134806999999999971e+04 8.539227999999999156e+03 1.201347700580246851e+02
5.469030508231555577e+05 9.358022266924630385e+05 2.130488400000000183e+04 8.521953600000000733e+03 1.201192449465286245e+02
5.575222498503933894e+05 9.356881224430397851e+05 2.129290999999999985e+04 8.517163999999998850e+03 1.199028801657840688e+02
5.681415799123531906e+05 9.355993756028311327e+05 2.113068200000000070e+04 8.452272800000000643e+03 1.192421243476859871e+02
5.787610034637700301e+05 9.355359855240803445e+05 2.086392000000000189e+04 8.345567999999999302e+03 1.181192919676465465e+02
5.893804829659867100e+05 9.354979517049546121e+05 2.064670900000000256e+04 8.258683600000002116e+03 1.173847771623254488e+02
6.000000000000000000e+05 9.354852737895752070e+05 2.064688299999999799e+04 8.258753199999999197e+03 1.168679334564531445e+02
6.106195170340132900e+05 9.354979517049546121e+05 2.070634700000000157e+04 8.282538800000000265e+03 1.174261955701406634e+02
6.212389965362299699e+05 9.355359855240803445e+05 2.063558799999999974e+04 8.254235200000000987e+03 1.171685099437806770e+02
6.318584200876468094e+05 9.355993756028311327e+05 2.026159100000000035e+04 8.104636400000000322e+03 1.151275177424983269e+02
6.424777501496066106e+05 9.356881224430397851e+05 1.982566999999999825e+04 7.930268000000000029e+03 1.135665471130914597e+02
6.530969491768444423e+05 9.358022266924630385e+05 1.972473099999999977e+04 7.889892399999999725e+03 1.137374954390313775e+02
6.637159987295228057e+05 9.359416894185964484e+05 1.962775600000000122e+04 7.851102400000001580e+03 1.128800105577202970e+02
6.743348612417945405e+05 9.361065116978501901e+05 1.943332900000000154e+04 7.773331600000000435e+03 1.121372773583779150e+02
6.849534991345950402e+05 9.362966947524081916e+05 1.909386299999999756e+04 7.637545199999999568e+03 1.112206540111028090e+02
6.955718939264153596e+05 9.365122403609579196e+05 1.860474399999999878e+04 7.441897600000001148e+03 1.086472247597207570e+02
7.061900080038838787e+05 9.367531501739530358e+05 1.817636100000000079e+04 7.270544400000000678e+03 1.068102111001895764e+02
7.168078037338010035e+05 9.370194259873676347e+05 1.777990700000000288e+04 7.111962800000000243e+03 1.051963969880299601e+02
7.274252625721419463e+05 9.373110702903748024e+05 1.743674299999999857e+04 6.974697200000000521e+03 1.037136497261954133e+02
7.380423468376696110e+05 9.376280853066426935e+05 1.732732200000000012e+04 6.930928800000000592e+03 1.034123136038301141e+02
7.486590188227052568e+05 9.379704734050061088e+05 1.775041800000000148e+04 7.100167200000000776e+03 1.050742496498043579e+02
7.592752598998543108e+05 9.383382377841325942e+05 1.802986699999999837e+04 7.211946799999999712e+03 1.062659930431875495e+02
7.698910322996624745e+05 9.387313812397815054e+05 1.813960300000000279e+04 7.255841200000000754e+03 1.064382362858202953e+02
7.805062982196172234e+05 9.391499067124240100e+05 1.809560599999999977e+04 7.238242400000000998e+03 1.069496646203811139e+02
3.547959196216030978e+05 9.236577474666908383e+05 2.983103600000000006e+04 1.193241440000000148e+04 1.537814735205222121e+02
3.654518244435756351e+05 9.230856292235702276e+05 2.945196899999999732e+04 1.178078759999999966e+04 1.521480176310718662e+02
3.761084747838010080e+05 9.225389683097186498e+05 2.921811299999999756e+04 1.168724519999999939e+04 1.514885141134403455e+02
3.867657753816780751e+05 9.220177637193625560e+05 2.909276199999999881e+04 1.163710480000000098e+04 1.509181402306258235e+02
3.974236310092795757e+05 9.215220140442345291e+05 2.885998199999999997e+04 1.154399279999999999e+04 1.500054175336883020e+02
4.080821383287740173e+05 9.210517092375842622e+05 2.745298600000000079e+04 1.098119440000000031e+04 1.437568392536929025e+02
4.187412022055028938e+05 9.206068484614102636e+05 2.586363199999999779e+04 1.034545280000000093e+04 1.384714365323008565e+02
4.294007275328188553e+05 9.201874304761406966e+05 2.423623099999999977e+04 9.694492400000000998e+03 1.318004945397613881e+02
4.400608111170345219e+05 9.197934467782550491e+05 2.258825900000000183e+04 9.035303600000001097e+03 1.258682002333633392e+02
4.507213579303935403e+05 9.194248966995368246e+05 2.108223900000000140e+04 8.432895599999999831e+03 1.189054078008004893e+02
4.613822729684856022e+05 9.190817791709795129e+05 2.110897299999999814e+04 8.443589200000000346e+03 1.189864476762843708e+02
4.720436531576921698e+05 9.187640872335071908e+05 2.120716300000000047e+04 8.482865200000000186e+03 1.193168189366149079e+02
4.827053843667035690e+05 9.184718208935727598e+05 2.111793499999999767e+04 8.447174000000000888e+03 1.192573733102244375e+02
4.933674484406068223e+05 9.182049772872432368e+05 2.090340399999999863e+04 8.361361600000000180e+03 1.189092589704807352e+02
5.040298272514949786e+05 9.179635538827932905e+05 2.126360499999999956e+04 8.505442000000000917e+03 1.193255708413197738e+02
5.146924835027880035e+05 9.177475488467250252e+05 2.154321099999999933e+04 8.617284400000000460e+03 1.205671231915475090e+02
5.253553799179095076e+05 9.175569604949202621e+05 2.166816100000000006e+04 8.667264400000000023e+03 1.212195463376067153e+02
5.360184984319596551e+05 9.173917870183021296e+05 2.163378900000000067e+04 8.653515600000000632e+03 1.216778807764268606e+02
5.466818018029470695e+05 9.172520271690313239e+05 2.143862899999999718e+04 8.575451599999998507e+03 1.206358656138277325e+02
5.573452528022148181e+05 9.171376798489000648e+05 2.148223300000000017e+04 8.592893200000000434e+03 1.208411819312550364e+02
5.680088334068617551e+05 9.170487439721812261e+05 2.140690000000000146e+04 8.562760000000000218e+03 1.205716197460126295e+02
5.786725064089797670e+05 9.169852188773271628e+05 2.119557200000000012e+04 8.478228800000000774e+03 1.191803964472121464e+02
5.893362346073269146e+05 9.169471040525711142e+05 2.096378100000000268e+04 8.385512400000001435e+03 1.185087316247590792e+02
6.000000000000000000e+05 9.169343991359578213e+05 2.113183400000000256e+04 8.452733599999999569e+03 1.198292029699989882e+02
6.106637653926730854e+05 9.169471040525711142e+05 2.135982699999999750e+04 8.543930800000000090e+03 1.206429154604614524e+02
6.213274935910202330e+05 9.169852188773271628e+05 2.143774199999999837e+04 8.575096800000001167e+03 1.199878329492770206e+02
6.319911665931382449e+05 9.170487439721812261e+05 2.114480400000000009e+04 8.457921600000001490e+03 1.188674366085381422e+02
6.426547471977851819e+05 9.171376798489000648e+05 2.069475699999999779e+04 8.277902799999999843e+03 1.169806125122260880e+02
6.533181981970529305e+05 9.172520271690313239e+05 2.052791400000000067e+04 8.211165599999998449e+03 1.169871590918076123e+02
6.639815015680403449e+05 9.173917870183021296e+05 2.028810100000000239e+04 8.115240400000001500e+03 1.158649991301124800e+02
6.746446200820904924e+05 9.175569604949202621e+05 1.992325400000000081e+04 7.969301600000000690e+03 1.144517089688144438e+02
6.853075164972119965e+05 9.177475488467250252e+05 1.934514400000000023e+04 7.738057600000001003e+03 1.115085283041619277e+02
6.959701727485050214e+05 9.179635538827932905e+05 1.852464900000000125e+04 7.409859600000000682e+03 1.085180017112640485e+02
7.066325515593930613e+05 9.182049772872432368e+05 1.815486500000000160e+04 7.261946000000000822e+03 1.064600586399332087e+02
7.172946156332964310e+05 9.184718208935727598e+05 1.774598099999999977e+04 7.098392400000000634e+03 1.053155429629142077e+02
7.279563468423078302e+05 9.187640872335071908e+05 1.726443300000000090e+04 6.905773200000000543e+03 1.033043423926987003e+02
7.386177078414201969e+05 9.190817785762511194e+05 1.686478800000000047e+04 6.745915200000000368e+03 1.015722356026045929e+02
7.492786612589505967e+05 9.194248973400373943e+05 1.745657900000000154e+04 6.982631600000001526e+03 1.038173093531798088e+02
7.599391888829654781e+05 9.197934467782550491e+05 1.797366100000000006e+04 7.189464400000000751e+03 1.059979262174208259e+02
7.705992532795045990e+05 9.201874297440793598e+05 1.823448900000000140e+04 7.293795600000000377e+03 1.072213678284461906e+02
7.812588169812558917e+05 9.206068492392606568e+05 1.824357600000000093e+04 7.297430400000000191e+03 1.072717604880319726e+02
3.537795596748510143e+05 9.051214866565167904e+05 2.928285199999999895e+04 1.171314079999999922e+04 1.516143401884543493e+02
3.644797146903878311e+05 9.045481651498868596e+05 2.895422000000000116e+04 1.158168800000000010e+04 1.498176554213540896e+02
3.751806073947452242e+05 9.040003550754806492e+05 2.874686100000000079e+04 1.149874439999999959e+04 1.498376547521624502e+02
3.858821426269597141e+05 9.034780553487439174e+05 2.857872400000000198e+04 1.143148960000000079e+04 1.492830687277460981e+02
3.965842252593179001e+05 9.029812644853501115e+05 2.818471500000000015e+04 1.127388600000000042e+04 1.475899426877710994e+02
4.072869528506398201e+05 9.025099723479266977e+05 2.707326299999999901e+04 1.082930520000000070e+04 1.432031451475408801e+02
4.179902303671618574e+05 9.020641780307680601e+05 2.568119799999999668e+04 1.027247919999999976e+04 1.373353535912075927e+02
4.286939628036248032e+05 9.016438802293206099e+05 2.424015199999999822e+04 9.696060799999999290e+03 1.321216048310432143e+02
4.393982478637557942e+05 9.012490703634191304e+05 2.289466900000000169e+04 9.157867600000001403e+03 1.263670660991506054e+02
4.501029906217614189e+05 9.008797477082116529e+05 2.185234300000000076e+04 8.740937200000000303e+03 1.221962499355757359e+02
4.608080961756045581e+05 9.005359111407794990e+05 2.164588399999999820e+04 8.658353600000000370e+03 1.214888967474141879e+02
4.715136623497148976e+05 9.002175536393622169e+05 2.170455199999999968e+04 8.681820800000001327e+03 1.214648676190446253e+02
4.822195750361023238e+05 8.999246751658930443e+05 2.173140499999999884e+04 8.692561999999999898e+03 1.213866423539202657e+02
4.929258165011090459e+05 8.996572728094707709e+05 2.174558400000000256e+04 8.698233599999999569e+03 1.216459853231833961e+02
5.036323690382651985e+05 8.994153439956654329e+05 2.200528900000000067e+04 8.802115600000000995e+03 1.227330829013222200e+02
5.143391956930923043e+05 8.991988868533011992e+05 2.224632300000000032e+04 8.898529200000000856e+03 1.237058690884723831e+02
5.250462595312894555e+05 8.990078996644592844e+05 2.236836100000000079e+04 8.947344399999999951e+03 1.240050508374473708e+02
5.357535429098800523e+05 8.988423805895645637e+05 2.238739999999999782e+04 8.954959999999999127e+03 1.247425028272684528e+02
5.464610089294230565e+05 8.987023283550167689e+05 2.224170899999999892e+04 8.896683600000000297e+03 1.234865568228104422e+02
5.571686207039274741e+05 8.985877418407229707e+05 2.207818000000000029e+04 8.831272000000000844e+03 1.234230384860107534e+02
5.678763606327390298e+05 8.984986199426595122e+05 2.196444100000000253e+04 8.785776400000000649e+03 1.229777172294294587e+02
5.785841918507807422e+05 8.984349619854304474e+05 2.183356300000000192e+04 8.733425200000001496e+03 1.220210049698365395e+02
5.892920774996991968e+05 8.983967674472960643e+05 2.171701599999999962e+04 8.686806399999999485e+03 1.217453634824623236e+02
6.000000000000000000e+05 8.983840359602023382e+05 2.180343799999999828e+04 8.721375200000000405e+03 1.220174548623718636e+02
6.107079225003008032e+05 8.983967674472960643e+05 2.200369499999999971e+04 8.801478000000000975e+03 1.230510765995438049e+02
6.214158081492192578e+05 8.984349619854304474e+05 2.215893600000000151e+04 8.863574400000001333e+03 1.238364074559996055e+02
